"module name","license","repository"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"get-nonce@1.0.1","MIT","https://github.com/theKashey/get-nonce"
"hls-video-element@1.5.6","MIT","https://github.com/muxinc/media-elements"
"hls.js@1.6.7","Apache-2.0","https://github.com/video-dev/hls.js"
"html-entities@2.6.0","MIT","https://github.com/mdevils/html-entities"
"immediate@3.0.6","MIT","https://github.com/calvinmetcalf/immediate"
"imsc@1.1.5","BSD-2-Clause","https://github.com/sandflow/imscJS"
"is-alphabetical@2.0.1","MIT","https://github.com/wooorm/is-alphabetical"
"is-alphanumerical@2.0.1","MIT","https://github.com/wooorm/is-alphanumerical"
"is-arrayish@0.3.2","MIT","https://github.com/qix-/node-is-arrayish"
"is-decimal@2.0.1","MIT","https://github.com/wooorm/is-decimal"
"jose@6.0.12","MIT","https://github.com/panva/jose"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"lie@3.1.1","MIT","https://github.com/calvinmetcalf/lie"
"localforage@1.10.0","Apache-2.0","https://github.com/localForage/localForage"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lucide-react@0.526.0","ISC","https://github.com/lucide-icons/lucide"
"media-chrome@4.11.1","MIT","https://github.com/muxinc/media-chrome"
"media-tracks@0.3.3","MIT","https://github.com/muxinc/media-elements"
"mimicopi@0.1.0","UNLICENSED",""
"mux-embed@5.9.0","MIT",""
"nanoid@3.3.11","MIT","https://github.com/ai/nanoid"
"native-promise-only@0.8.1","MIT","https://github.com/getify/native-promise-only"
"next-auth@5.0.0-beta.29","ISC","https://github.com/nextauthjs/next-auth"
"next@15.4.4","MIT","https://github.com/vercel/next.js"
"oauth4webapi@3.7.0","MIT","https://github.com/panva/oauth4webapi"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"path-browserify@1.0.1","MIT","https://github.com/browserify/path-browserify"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"player.style@0.1.9","MIT","https://github.com/muxinc/player.style"
"postcss@8.4.31","MIT","https://github.com/postcss/postcss"
"postgres@3.4.7","Unlicense","https://github.com/porsager/postgres"
"preact-render-to-string@6.5.11","MIT","https://github.com/preactjs/preact-render-to-string"
"preact@10.24.3","MIT","https://github.com/preactjs/preact"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"react-dom@19.1.0","MIT","https://github.com/facebook/react"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-player@3.3.1","MIT","https://github.com/cookpete/react-player"
"react-remove-scroll-bar@2.3.8","MIT","https://github.com/theKashey/react-remove-scroll-bar"
"react-remove-scroll@2.7.1","MIT","https://github.com/theKashey/react-remove-scroll"
"react-style-singleton@2.2.3","MIT","https://github.com/theKashey/react-style-singleton"
"react@19.1.0","MIT","https://github.com/facebook/react"
"sax@1.2.1","ISC","https://github.com/isaacs/sax-js"
"scheduler@0.26.0","MIT","https://github.com/facebook/react"
"semver@7.7.2","ISC","https://github.com/npm/node-semver"
"sharp@0.34.3","Apache-2.0","https://github.com/lovell/sharp"
"simple-swizzle@0.2.2","MIT","https://github.com/qix-/node-simple-swizzle"
"smplr@0.16.3","MIT","https://github.com/danigb/smplr"
"source-map-js@1.2.1","BSD-3-Clause","https://github.com/7rulnik/source-map-js"
"spotify-audio-element@1.0.2","MIT","https://github.com/muxinc/media-elements"
"styled-jsx@5.1.6","MIT","https://github.com/vercel/styled-jsx"
"super-media-element@1.4.2","MIT","https://github.com/muxinc/media-elements"
"tailwind-merge@3.3.1","MIT","https://github.com/dcastil/tailwind-merge"
"tiktok-video-element@0.1.0","MIT","https://github.com/muxinc/media-elements"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"twitch-video-element@0.1.2","MIT","https://github.com/muxinc/media-elements"
"ua-parser-js@1.0.40","MIT","https://github.com/faisalman/ua-parser-js"
"use-callback-ref@1.3.3","MIT","https://github.com/theKashey/use-callback-ref"
"use-sidecar@1.1.3","MIT","https://github.com/theKashey/use-sidecar"
"vimeo-video-element@1.5.3","MIT","https://github.com/muxinc/media-elements"
"weakmap-polyfill@2.0.4","MIT","https://github.com/polygonplanet/weakmap-polyfill"
"wistia-video-element@1.3.3","MIT","https://github.com/muxinc/media-elements"
"youtube-video-element@1.6.1","MIT","https://github.com/muxinc/media-elements"
